Date,Product_ID,Sales,Current_Stock
2023-01-01,Product_A,51,64
2023-01-02,Product_A,28,238
2023-01-03,Product_A,27,171
2023-01-04,Product_A,27,124
2023-01-05,Product_A,28,166
2023-01-06,Product_A,28,201
2023-01-07,Product_A,43,102
2023-01-08,Product_A,44,285
2023-01-09,Product_A,26,179
2023-01-10,Product_A,25,210
2023-01-11,Product_A,30,71
2023-01-12,Product_A,32,138
2023-01-13,Product_A,31,108
2023-01-14,Product_A,59,269
2023-01-15,Product_A,61,239
2023-01-16,Product_A,35,239
2023-01-17,Product_A,32,104
2023-01-18,Product_A,29,180
2023-01-19,Product_A,23,184
2023-01-20,Product_A,29,216
2023-01-21,Product_A,40,138
2023-01-22,Product_A,60,291
2023-01-23,Product_A,29,139
2023-01-24,Product_A,22,133
2023-01-25,Product_A,35,237
2023-01-26,Product_A,32,57
2023-01-27,Product_A,23,255
2023-01-28,Product_A,39,99
2023-01-29,Product_A,46,51
2023-01-30,Product_A,26,103
2023-01-31,Product_A,24,103
2023-02-01,Product_A,35,195
2023-02-02,Product_A,32,211
2023-02-03,Product_A,34,277
2023-02-04,Product_A,63,97
2023-02-05,Product_A,57,255
2023-02-06,Product_A,32,298
2023-02-07,Product_A,28,262
2023-02-08,Product_A,22,160
2023-02-09,Product_A,28,203
2023-02-10,Product_A,32,237
2023-02-11,Product_A,59,90
2023-02-12,Product_A,62,94
2023-02-13,Product_A,29,120
2023-02-14,Product_A,28,178
2023-02-15,Product_A,28,265
2023-02-16,Product_A,31,292
2023-02-17,Product_A,28,212
2023-02-18,Product_A,38,172
2023-02-19,Product_A,49,280
2023-02-20,Product_A,29,77
2023-02-21,Product_A,29,121
2023-02-22,Product_A,22,82
2023-02-23,Product_A,27,111
2023-02-24,Product_A,25,148
2023-02-25,Product_A,54,263
2023-02-26,Product_A,48,242
2023-02-27,Product_A,25,224
2023-02-28,Product_A,23,50
2023-03-01,Product_A,30,296
2023-03-02,Product_A,34,152
2023-03-03,Product_A,29,256
2023-03-04,Product_A,59,91
2023-03-05,Product_A,59,228
2023-03-06,Product_A,27,290
2023-03-07,Product_A,33,145
2023-03-08,Product_A,34,278
2023-03-09,Product_A,27,286
2023-03-10,Product_A,31,78
2023-03-11,Product_A,51,209
2023-03-12,Product_A,52,292
2023-03-13,Product_A,32,115
2023-03-14,Product_A,33,111
2023-03-15,Product_A,25,183
2023-03-16,Product_A,32,157
2023-03-17,Product_A,24,79
2023-03-18,Product_A,59,177
2023-03-19,Product_A,51,141
2023-03-20,Product_A,27,239
2023-03-21,Product_A,21,170
2023-03-22,Product_A,34,170
2023-03-23,Product_A,33,282
2023-03-24,Product_A,27,247
2023-03-25,Product_A,53,186
2023-03-26,Product_A,53,274
2023-03-27,Product_A,30,221
2023-03-28,Product_A,35,108
2023-03-29,Product_A,28,282
2023-03-30,Product_A,21,111
2023-03-31,Product_A,30,101
2023-04-01,Product_A,60,88
2023-04-02,Product_A,39,162
2023-04-03,Product_A,21,233
2023-04-04,Product_A,31,162
2023-04-05,Product_A,22,269
2023-04-06,Product_A,27,278
2023-04-07,Product_A,21,196
2023-04-08,Product_A,50,102
2023-04-09,Product_A,56,209
2023-04-10,Product_A,27,117
2023-04-11,Product_A,31,233
2023-04-12,Product_A,21,87
2023-04-13,Product_A,25,165
2023-04-14,Product_A,26,263
2023-04-15,Product_A,60,289
2023-04-16,Product_A,44,173
2023-04-17,Product_A,26,257
2023-04-18,Product_A,23,197
2023-04-19,Product_A,31,213
2023-04-20,Product_A,30,244
2023-04-21,Product_A,23,197
2023-04-22,Product_A,45,282
2023-04-23,Product_A,43,177
2023-04-24,Product_A,22,153
2023-04-25,Product_A,31,269
2023-04-26,Product_A,29,227
2023-04-27,Product_A,35,271
2023-04-28,Product_A,23,56
2023-04-29,Product_A,56,161
2023-04-30,Product_A,47,109
2023-05-01,Product_A,22,178
2023-05-02,Product_A,32,246
2023-05-03,Product_A,31,296
2023-05-04,Product_A,29,148
2023-05-05,Product_A,23,197
2023-05-06,Product_A,48,169
2023-05-07,Product_A,43,165
2023-05-08,Product_A,21,249
2023-05-09,Product_A,26,153
2023-05-10,Product_A,34,276
